Year;GDP_blnUSD;country_IdCountry
2005;6,3;1
2005;8,2;2
2005;103,2;3
2005;3,1;4
2005;28,2;5
2005;183;6
2005;4,9;7
2005;737,2;8
2005;303,4;9
2005;13,2;10
2005;13,5;11
2005;61,1;12
2005;30,2;13
2005;377,8;14
2005;1,1;15
2005;4,4;16
2005;0,8;17
2005;9,6;18
2005;10,9;19
2005;10,4;20
2005;890,1;21
2005;9,5;22
2005;28,9;23
2005;5,5;24
2005;12;25
2005;0,8;26
2005;6,3;27
2005;16,6;28
2005;1133,8;29
2005;1,4;30
2005;5,9;31
2005;118,3;32
2005;2256,9;33
2005;146,6;34
2005;7,2;35
2005;6,1;36
2005;20;37
2005;16,4;38
2005;44,8;39
2005;42,6;40
2005;17;41
2005;124,5;42
2005;257,7;43
2005;0,7;44
2005;33,5;45
2005;36,9;46
2005;89,8;47
2005;17,1;48
2005;8,2;49
2005;1,1;50
2005;13,9;51
2005;12,3;52
2005;0;53
2005;3;54
2005;196,1;55
2005;2138,4;56
2005;8,7;57
2005;0,6;58
2005;6,4;59
2005;2771,1;60
2005;17,4;61
2005;242,7;62
2005;1,7;63
2005;27,2;64
2005;2,9;65
2005;0,6;66
2005;1,3;67
2005;4,3;68
2005;9,7;69
2005;110,1;70
2005;16,3;71
2005;808,7;72
2005;285,9;73
2005;188;74
2005;36;75
2005;203,6;76
2005;134;77
2005;1780,8;78
2005;11,2;79
2005;4552,2;80
2005;12,6;81
2005;57,1;82
2005;18,7;83
2005;13;84
2005;80,8;85
2005;2,5;86
2005;2,7;87
2005;16;88
2005;21,9;89
2005;1,4;90
2005;0,5;91
2005;45,4;92
2005;3,7;93
2005;26;94
2005;37,7;95
2005;6;96
2005;5;97
2005;2,8;98
2005;138;99
2005;5,5;100
2005;6;101
2005;1,9;102
2005;848,5;103
2005;3;104
2005;4,3;105
2005;2,3;106
2005;0;107
2005;59,5;108
2005;6,6;109
2005;7,3;110
2005;8,2;111
2005;639,9;112
2005;111,7;113
2005;4,9;114
2005;3,4;115
2005;112,2;116
2005;302;117
2005;30,9;118
2005;109,6;119
2005;15,5;120
2005;4,9;121
2005;7,5;122
2005;79,4;123
2005;103,1;124
2005;304;125
2005;191,5;126
2005;86;127
2005;44,5;128
2005;844,9;129
2005;99,2;130
2005;763,7;131
2005;2,6;132
2005;247;133
2005;2;134
2005;315,8;135
2005;8,7;136
2005;25,2;137
2005;1,2;138
2005;125,4;139
2005;48;140
2005;35,8;141
2005;2,3;142
2005;1132,1;143
2005;24,4;144
2005;27,3;145
2005;1,8;146
2005;2,5;147
2005;370,6;148
2005;372,5;149
2005;28,9;150
2005;364,8;151
2005;2,3;152
2005;13,7;153
2005;176,4;154
2005;2,1;155
2005;16;156
2005;32,3;157
2005;482,7;158
2005;17,2;159
2005;180,6;160
