Year;GDPGrowth_percent;country_IdCountry
2005;11,2;1
2005;5,8;2
2005;5,1;3
2005;3,5;4
2005;20,6;5
2005;9,2;6
2005;13,9;7
2005;3,1;8
2005;2,5;9
2005;26,4;10
2005;7,9;11
2005;6,3;12
2005;9,4;13
2005;2;14
2005;3;15
2005;2,9;16
2005;7,1;17
2005;4,4;18
2005;3,9;19
2005;1,6;20
2005;3,2;21
2005;0,4;22
2005;6,4;23
2005;8,7;24
2005;13,6;25
2005;0,9;26
2005;13,3;27
2005;2,3;28
2005;3;29
2005;2,4;30
2005;7,9;31
2005;5,6;32
2005;11,3;33
2005;4,7;34
2005;7,8;35
2005;7,8;36
2005;5,9;37
2005;1,9;38
2005;4,3;39
2005;8;40
2005;3,9;41
2005;6,3;42
2005;2,4;43
2005;3,2;44
2005;9,3;45
2005;5,7;46
2005;4,5;47
2005;3,6;48
2005;9,7;49
2005;2,6;50
2005;9,4;51
2005;12,6;52
2005;1,7;53
2005;2,5;54
2005;2,9;55
2005;1,9;56
2005;3;57
2005;0,3;58
2005;9,6;59
2005;0,8;60
2005;6;61
2005;2,3;62
2005;2;63
2005;3,3;64
2005;3;65
2005;4,3;66
2005;-1,9;67
2005;1,8;68
2005;6,1;69
2005;3,2;70
2005;7,5;71
2005;9;72
2005;5,7;73
2005;4,7;74
2005;-3;75
2005;5,3;76
2005;4,9;77
2005;0,7;78
2005;1,1;79
2005;1,9;80
2005;8,1;81
2005;9,7;82
2005;6;83
2005;1;84
2005;10,4;85
2005;-0,2;86
2005;6,8;87
2005;10,6;88
2005;1;89
2005;3;90
2005;5,3;91
2005;10,3;92
2005;0;93
2005;7,8;94
2005;5,4;95
2005;4,4;96
2005;4,6;97
2005;2,6;98
2005;5,3;99
2005;6,1;100
2005;4,2;101
2005;5,4;102
2005;3,2;103
2005;7,5;104
2005;0;105
2005;7,3;106
2005;0;107
2005;3;108
2005;8,4;109
2005;2,5;110
2005;3,5;111
2005;2,2;112
2005;3,3;113
2005;4,3;114
2005;8,4;115
2005;5,4;116
2005;2,7;117
2005;4;118
2005;9;119
2005;7,2;120
2005;3,9;121
2005;2,9;122
2005;6,8;123
2005;4,8;124
2005;3,6;125
2005;0,8;126
2005;2,5;127
2005;7,5;128
2005;4;129
2005;4,2;130
2005;6,4;131
2005;9,4;132
2005;5,3;133
2005;0;134
2005;5,6;135
2005;5,6;136
2005;5,4;137
2005;7,2;138
2005;7,4;139
2005;6,7;140
2005;4;141
2005;2,4;142
2005;3,6;143
2005;6,2;144
2005;7,9;145
2005;4,5;146
2005;2,2;147
2005;3,2;148
2005;2,6;149
2005;6,2;150
2005;4,7;151
2005;6,7;152
2005;7,4;153
2005;4,6;154
2005;1,2;155
2005;6,2;156
2005;4;157
2005;8,4;158
2005;13;159
2005;8,6;160
2005;6,3;161
2005;2,2;162
2005;2,9;163
2005;3,1;164
2005;6,8;165
2005;7;166
2005;10,3;167
2005;8,4;168
2005;5,6;169
2005;5,3;170
2005;-2,2;171
2006;5,6;1
2006;5,4;2
2006;2;3
2006;0;4
2006;20,7;5
2006;8,5;6
