Year;country_IdCountry;Inflation_percent
2005;1;12,3
2005;2;2,4
2005;3;1,6
2005;4;3,2
2005;5;23
2005;6;9,6
2005;7;0,6
2005;8;2,7
2005;9;2,1
2005;10;9,7
2005;11;2,6
2005;12;7
2005;13;10,3
2005;14;2,5
2005;15;3,7
2005;16;5,4
2005;17;5,3
2005;18;5,4
2005;19;3,6
2005;20;8,6
2005;21;6,9
2005;22;1,1
2005;23;6
2005;24;6,4
2005;25;10,7
2005;26;13,5
2005;27;6,3
2005;28;2
2005;29;2,2
2005;30;2,9
2005;31;3,7
2005;32;3,1
2005;33;1,8
2005;34;5
2005;35;21,4
2005;36;2,5
2005;37;13,8
2005;38;3,9
2005;39;3,3
2005;40;7
2005;41;2
2005;42;1,8
2005;43;1,8
2005;44;3,1
2005;45;4,2
2005;46;2,1
2005;47;8,8
2005;48;4,7
2005;49;5,7
2005;50;12,5
2005;51;4,1
2005;52;6,8
2005;53;2,2
2005;54;2,5
2005;55;0,8
2005;56;1,9
2005;57;1,2
2005;58;5
2005;59;8,3
2005;60;1,9
2005;61;15,1
2005;62;3,5
2005;63;1
2005;64;9,1
2005;65;31,4
2005;66;3,2
2005;67;6,9
2005;68;16,8
2005;69;8,8
2005;70;3,6
2005;71;4
2005;72;4,2
2005;73;10,5
2005;74;11,9
2005;75;33
2005;76;2,2
2005;77;1,3
2005;78;2,2
2005;79;15,1
2005;80;-0,3
2005;81;3,5
2005;82;7,9
2005;83;9,9
2005;84;0
2005;85;4,1
2005;86;4,3
2005;87;7,2
2005;88;6,9
2005;89;-0,7
2005;90;3,6
2005;91;6,9
2005;92;2,9
2005;93;0
2005;94;2,7
2005;95;2,5
2005;96;0,5
2005;97;18,4
2005;98;15,5
2005;99;2,9
2005;100;6,4
2005;101;2,5
2005;102;12,1
2005;103;4
2005;104;11,9
2005;105;0
2005;106;12,5
2005;107;0
2005;108;1
2005;109;6,4
2005;110;2,3
2005;111;4,5
2005;112;1,5
2005;113;3
2005;114;9,6
2005;115;7,8
2005;116;17,9
2005;117;1,5
2005;118;1,9
2005;119;9,3
2005;120;2,9
2005;121;1,8
2005;122;6,8
2005;123;1,6
2005;124;7,6
2005;125;2,1
2005;126;2,1
2005;127;0
2005;128;8,8
2005;129;2,8
2005;130;9
2005;131;12,7
2005;132;9,1
2005;133;3,4
2005;134;0
2005;135;0,6
2005;136;1,7
2005;137;17,3
2005;138;12,1
2005;139;0,5
2005;140;2,8
2005;141;2,5
2005;142;0
2005;143;3,4
2005;144;11
2005;145;8,5
2005;146;9,9
2005;147;4,9
2005;148;0,8
2005;149;1,2
2005;150;7,2
2005;151;2,3
2005;152;7,3
2005;153;4,4
2005;154;4,5
2005;155;6,8
2005;156;6,9
2005;157;2
2005;158;8,2
2005;159;10,7
2005;160;6,2
2005;161;8
2005;162;2
2005;163;13,5
2005;164;3,4
2005;165;4,7
2005;166;10
2005;167;16
2005;168;8,4
2005;169;9,9
2005;170;18,3
2005;171;133
2006;1;5,1
2006;2;2,4
2006;3;2,3
2006;4;0
2006;5;13,3
2006;6;10,9
2006;7;3
2006;8;3,5
2006;9;1,7
2006;10;8,4
2006;11;2
2006;12;6,8
2006;13;7
2006;14;2,3
2006;15;4,2
2006;16;3,8
2006;17;5
2006;18;4,3
2006;19;6,1
2006;20;11,6
2006;21;4,2
2006;22;0,2
2006;23;7,4
2006;24;2,4
2006;25;26,3
2006;26;2,7
2006;27;6,1
2006;28;4,9
2006;29;2
2006;30;6,7
2006;31;8,1
2006;32;3,4
2006;33;1,5
2006;34;4,3
2006;35;13,2
2006;36;4,7
2006;37;11,5
2006;38;2,5
2006;39;3,2
2006;40;5
2006;41;2,2
2006;42;2,5
2006;43;1,9
2006;44;3,5
2006;45;7,6
2006;46;3,3
2006;47;4,2
2006;48;4
2006;49;4,5
2006;50;15,1
2006;51;4,4
2006;52;12,3
2006;53;1,8
2006;54;4,8
2006;55;1,3
2006;56;1,9
2006;57;-1,4
2006;58;2,1
2006;59;9,2
2006;60;1,8
2006;61;10,2
2006;62;3,3
2006;63;0
2006;64;6,6
2006;65;34,7
2006;66;0,7
2006;67;6,7
2006;68;14,2
2006;69;5,6
2006;70;3,9
2006;71;6,8
2006;72;5,3
2006;73;13,1
2006;74;18,4
2006;75;64,8
2006;76;2,7
2006;77;2,1
2006;78;2,2
2006;79;8,5
2006;80;0,3
2006;81;6,3
2006;82;8,6
2006;83;6
2006;84;0
2006;85;3,1
2006;86;5,6
2006;87;6,8
2006;88;6,6
2006;89;5,6
2006;90;6,3
2006;91;7,2
2006;92;1,4
2006;93;0
2006;94;3,8
2006;95;2,7
2006;96;3,2
2006;97;10,8
2006;98;13,9
2006;99;3,6
2006;100;1,5
2006;101;2,6
2006;102;6,2
2006;103;3,6
2006;104;12,7
2006;105;0
2006;106;4,5
2006;107;0
2006;108;3,3
2006;109;13,2
2006;110;5,1
2006;111;8
2006;112;1,7
2006;113;3,4
2006;114;9,1
2006;115;0,1
2006;116;8,2
2006;117;2,3
2006;118;3,4
