Year;Population_mln;country_IdCountry
2005;25,7;1
2005;3,1;2
2005;32,9;3
2005;0,1;4
2005;16,6;5
2005;39,5;6
2005;3;7
2005;20,1;8
2005;8,2;9
2005;8,6;10
2005;0,7;11
2005;153,1;12
2005;10,3;13
2005;10,5;14
2005;0,3;15
2005;8,4;16
2005;0,7;17
2005;9,4;18
2005;4;19
2005;1,7;20
2005;186,1;21
2005;0,4;22
2005;7,7;23
2005;13,1;24
2005;42,9;25
2005;7,5;26
2005;13,8;27
2005;16,4;28
2005;32,8;29
2005;4,1;30
2005;9;31
2005;16,2;32
2005;1306,3;33
2005;42,9;34
2005;60,8;35
2005;3,4;36
2005;4,3;37
2005;19;38
2005;4,4;39
2005;11,3;40
2005;0,7;41
2005;10,2;42
2005;5,4;43
2005;0,7;44
2005;9;45
2005;13,7;46
2005;77,5;47
2005;5,7;48
2005;0,5;49
2005;4,5;50
2005;1,3;51
2005;74,7;52
2005;457;53
2005;0,9;54
2005;5,3;55
2005;60,7;56
2005;1,4;57
2005;1,5;58
2005;4,3;59
2005;82,4;60
2005;20,9;61
2005;10,7;62
2005;0,1;63
2005;12,7;64
2005;9,2;65
2005;1,5;66
2005;0,8;67
2005;9,3;68
2005;7,2;69
2005;10,1;70
2005;0,3;71
2005;1080,3;72
2005;242;73
2005;69,4;74
2005;26,1;75
2005;4,1;76
2005;6,7;77
2005;58,1;78
2005;2,7;79
2005;127,4;80
2005;5,8;81
2005;15,2;82
2005;34,3;83
2005;22,9;84
2005;2,3;85
2005;5,2;86
2005;5,9;87
2005;2,3;88
2005;3,8;89
2005;1,9;90
2005;3,5;91
2005;5,9;92
2005;0;93
2005;3,4;94
2005;0,5;95
2005;2;96
2005;18,6;97
2005;13,7;98
2005;26,5;99
2005;11,8;100
2005;0,4;101
2005;2,8;102
2005;106,2;103
2005;3,6;104
2005;0;105
2005;2,5;106
2005;0;107
2005;30,2;108
2005;19,6;109
2005;2;110
2005;26,9;111
2005;16,3;112
2005;4,1;113
2005;5,5;114
2005;12,6;115
2005;136,3;116
2005;4,6;117
2005;3;118
2005;152,5;119
2005;3,2;120
2005;5,8;121
2005;5,8;122
2005;27,2;123
2005;85,3;124
2005;38,6;125
2005;10,5;126
2005;3,9;127
2005;0,9;128
2005;48,4;129
2005;21,6;130
2005;143,2;131
2005;9;132
2005;44,3;133
2005;0;134
2005;26,4;135
2005;11,7;136
2005;7,4;137
2005;5,1;138
2005;4,4;139
2005;5,4;140
2005;2;141
2005;8,6;142
2005;40,3;143
2005;19,6;144
2005;35,3;145
2005;0,5;146
2005;1,1;147
2005;9;148
2005;7,4;149
2005;19,1;150
2005;22,8;151
2005;6,9;152
2005;37,5;153
2005;62,4;154
2005;6,1;155
2005;1,1;156
2005;10;157
2005;69,7;158
2005;5;159
2005;4,1;160
2005;28,7;161
2005;60,4;162
2005;47,4;163
2005;295,7;164
2005;3,3;165
2005;26,4;166
2005;26,4;167
2005;83,1;168
2005;20,7;169
2005;11,3;170
2005;12,5;171
2006;26,7;1
2006;3,1;2
2006;33,8;3
2006;0,1;4
2006;17,1;5
2006;39,9;6
2006;3;7
2006;20,3;8
2006;8,3;9
2006;8,7;10
2006;0,7;11
2006;155,5;12
2006;10,3;13
2006;10,6;14
2006;0,3;15
2006;8,6;16
2006;0,7;17
2006;9,6;18
2006;4,5;19
2006;1,7;20
2006;188,1;21
2006;0,4;22
2006;7,7;23
2006;13,4;24
2006;47,4;25
2006;8,1;26
2006;13,8;27
2006;17,3;28
2006;33,1;29
2006;4,2;30
2006;9,3;31
2006;16,4;32
2006;1314;33
2006;43,4;34
2006;62,6;35
2006;3,4;36
2006;4,4;37
2006;19,6;38
2006;4,4;39
2006;11,3;40
2006;0,8;41
2006;10,3;42
2006;5,4;43
2006;0,7;44
2006;9,2;45
2006;13,9;46
2006;78,9;47
2006;5,7;48
2006;0,5;49
2006;4,7;50
2006;1,3;51
2006;76,6;52
2006;457;53
2006;0,9;54
2006;5,3;55
2006;60,9;56
2006;1,4;57
2006;1,5;58
2006;4,4;59
2006;82,4;60
2006;21,4;61
2006;10,7;62
2006;0,1;63
2006;12,3;64
2006;9,4;65
2006;1,5;66
2006;0,8;67
2006;9,4;68
2006;7,4;69
2006;10,1;70
2006;0,3;71
2006;1095,4;72
2006;245,5;73
2006;70,5;74
2006;26,8;75
2006;4,2;76
2006;6,8;77
2006;58,1;78
2006;2,7;79
2006;127,5;80
2006;5,9;81
