Year;Unemployment_percent;country_IdCountry
2005;40;1
2005;14,8;2
2005;17,1;3
2005;0;4
2005;0;5
2005;11,6;6
2005;31,6;7
2005;5,1;8
2005;5,2;9
2005;7,6;10
2005;15;11
2005;4,3;12
2005;1,6;13
2005;8,5;14
2005;11;15
2005;0;16
2005;2,5;17
2005;9,2;18
2005;31,1;19
2005;23,8;20
2005;9,8;21
2005;2,9;22
2005;11,5;23
2005;77;24
2005;5;25
2005;0;26
2005;0;27
2005;30;28
2005;6,8;29
2005;8;30
2005;0;31
2005;9,3;32
2005;4,2;33
2005;11,8;34
2005;0;35
2005;0;36
2005;6,6;37
2005;13;38
2005;12,7;39
2005;1,9;40
2005;5,3;41
2005;7,9;42
2005;5,1;43
2005;0;44
2005;17,9;45
2005;10,7;46
2005;11,5;47
2005;6,3;48
2005;30;49
2005;0;50
2005;7,9;51
2005;0;52
2005;9,4;53
2005;7,6;54
2005;8,4;55
2005;9,3;56
2005;0;57
2005;0;58
2005;13,8;59
2005;11,2;60
2005;11;61
2005;9,9;62
2005;9,3;63
2005;3,2;64
2005;0;65
2005;0;66
2005;9,1;67
2005;70;68
2005;4;69
2005;7,3;70
2005;2,1;71
2005;8,9;72
2005;11,2;73
2005;12,1;74
2005;25;75
2005;4,4;76
2005;9;77
2005;7,7;78
2005;11,2;79
2005;4,4;80
2005;14,8;81
2005;8,1;82
2005;40;83
2005;0;84
2005;1,3;85
2005;8,1;86
2005;2,4;87
2005;8,8;88
2005;0;89
2005;0;90
2005;85;91
2005;30;92
2005;1,3;93
2005;8,3;94
2005;4,3;95
2005;37,3;96
2005;0;97
2005;0;98
2005;3,5;99
2005;14,6;100
2005;7,2;101
2005;20;102
2005;3,6;103
2005;7,3;104
2005;0;105
2005;3,3;106
2005;27,7;107
2005;11;108
2005;21;109
2005;36,7;110
2005;42;111
2005;5,3;112
2005;3,8;113
2005;5,6;114
2005;0;115
2005;10,8;116
2005;4,6;117
2005;15;118
2005;7,7;119
2005;10,3;120
2005;0;121
2005;5,7;122
2005;9,6;123
2005;11,4;124
2005;17,7;125
2005;8,6;126
2005;12;127
2005;0;128
2005;3,7;129
2005;5,8;130
2005;7,6;131
2005;0;132
2005;26,7;133
2005;0;134
2005;11,5;135
2005;48;136
2005;21,8;137
2005;0;138
2005;3,1;139
2005;16,2;140
2005;6,5;141
